epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.5851,1.39222,3.85852,1.70619,0.29948,0.33591,0.29639,0.17345,1.53923,2.58338,2.15065,0.00332739,0.00332739,0.00332739
2,148.583,1.44566,2.94032,1.7121,0.38631,0.4417,0.36167,0.19506,1.60337,2.68175,2.21919,0.00659478,0.00659478,0.00659478
3,206.372,1.51949,2.81698,1.79312,0.343,0.27778,0.24557,0.13185,1.80925,2.91209,2.56045,0.00979618,0.00979618,0.00979618
4,263.383,1.57181,2.75003,1.84368,0.49553,0.22407,0.21436,0.11456,1.73079,2.90347,2.36762,0.009703,0.009703,0.009703
5,320.1,1.51803,2.41969,1.78862,0.56292,0.46746,0.51163,0.27332,1.66411,2.01439,2.20806,0.009604,0.009604,0.009604
6,376.433,1.50143,2.26541,1.7573,0.60843,0.51792,0.57046,0.31165,1.57921,1.96228,2.22033,0.009505,0.009505,0.009505
7,433.848,1.44909,2.08101,1.71992,0.6402,0.53692,0.58898,0.32382,1.58886,1.7393,2.13338,0.009406,0.009406,0.009406
8,491.264,1.42977,1.96623,1.69535,0.63145,0.52951,0.58155,0.33334,1.58621,1.94769,2.11394,0.009307,0.009307,0.009307
9,548.548,1.41367,1.89628,1.68001,0.69438,0.59834,0.64991,0.3797,1.52713,1.61168,2.05952,0.009208,0.009208,0.009208
10,605.932,1.38312,1.81061,1.6618,0.74345,0.59357,0.68414,0.39433,1.51981,1.53337,2.05382,0.009109,0.009109,0.009109
11,662.242,1.36855,1.75894,1.64755,0.7181,0.63675,0.68446,0.39814,1.50318,1.52354,2.07061,0.00901,0.00901,0.00901
12,719.267,1.342,1.70057,1.6269,0.78969,0.6827,0.74759,0.44009,1.49209,1.33538,2.02532,0.008911,0.008911,0.008911
13,776.137,1.34789,1.66382,1.62382,0.75378,0.6811,0.74233,0.44286,1.44624,1.30028,1.9587,0.008812,0.008812,0.008812
14,832.666,1.32375,1.60812,1.60346,0.78839,0.66392,0.75942,0.45382,1.42187,1.26638,1.95104,0.008713,0.008713,0.008713
15,889.414,1.31672,1.58837,1.60743,0.76266,0.68766,0.75613,0.44115,1.44751,1.29455,1.96793,0.008614,0.008614,0.008614
16,946.739,1.30383,1.5483,1.59008,0.81781,0.71396,0.79262,0.45799,1.46747,1.1716,1.94785,0.008515,0.008515,0.008515
17,1003.38,1.29448,1.52413,1.57887,0.7958,0.70807,0.7792,0.4703,1.42067,1.16542,1.92015,0.008416,0.008416,0.008416
18,1059.56,1.28874,1.49368,1.57808,0.75462,0.74352,0.77787,0.47267,1.39817,1.14486,1.91432,0.008317,0.008317,0.008317
19,1115.91,1.2667,1.43285,1.55869,0.8443,0.68039,0.79886,0.47314,1.40664,1.15745,1.89665,0.008218,0.008218,0.008218
20,1172.39,1.25924,1.4362,1.55631,0.78838,0.71122,0.80302,0.48499,1.40289,1.15364,1.91681,0.008119,0.008119,0.008119
21,1228.56,1.25166,1.40046,1.54375,0.84179,0.72339,0.80488,0.4855,1.41064,1.09334,1.92404,0.00802,0.00802,0.00802
22,1284.96,1.23844,1.38176,1.53169,0.82052,0.74346,0.82293,0.49782,1.39485,1.05676,1.89912,0.007921,0.007921,0.007921
23,1341.14,1.22953,1.34939,1.52364,0.81683,0.7554,0.81967,0.49968,1.36209,1.04896,1.86358,0.007822,0.007822,0.007822
24,1396.59,1.22226,1.32982,1.51988,0.82467,0.7521,0.82069,0.49313,1.38849,1.0505,1.89426,0.007723,0.007723,0.007723
25,1453.23,1.21938,1.30777,1.51559,0.81605,0.75678,0.82215,0.50441,1.37502,1.03699,1.87321,0.007624,0.007624,0.007624
26,1509.09,1.2026,1.29702,1.50269,0.86587,0.77626,0.84641,0.52504,1.35463,0.98888,1.85485,0.007525,0.007525,0.007525
27,1564.89,1.19876,1.26865,1.49982,0.84449,0.78637,0.84444,0.51701,1.3619,0.95129,1.84847,0.007426,0.007426,0.007426
28,1620.92,1.1859,1.24888,1.49422,0.82141,0.78359,0.83365,0.51043,1.36785,1.00082,1.86713,0.007327,0.007327,0.007327
29,1677.53,1.17575,1.26693,1.48079,0.84095,0.75294,0.82703,0.50741,1.36363,1.01866,1.8656,0.007228,0.007228,0.007228
30,1734.51,1.18346,1.23632,1.48908,0.83332,0.80722,0.84946,0.52142,1.3654,0.94263,1.8732,0.007129,0.007129,0.007129
31,1790.57,1.17747,1.21623,1.48008,0.851,0.77582,0.84728,0.51942,1.37741,0.95114,1.87253,0.00703,0.00703,0.00703
